id,kidgen,momage,homecog,homeemo,Index1,read,kidagetv,time
22,0,28,13,10,1,2.1,6.08,1
22,0,28,13,10,2,3.9,8.08,2
34,1,28,9,9,1,2.1,6.83,1
34,1,28,9,9,2,2.9,8.83,2
34,1,28,9,9,3,4.5,10.83,3
34,1,28,9,9,4,4.5,12.83,4
58,0,28,9,6,1,2.3,6.5,1
58,0,28,9,6,2,4.5,8.5,2
58,0,28,9,6,3,4.2,10.5,3
58,0,28,9,6,4,4.6,12.5,4
122,1,28,13,10,1,3.7,7.83,1
122,1,28,13,10,2,8,9.83,2
125,0,29,10,8,1,2.3,7.42,1
125,0,29,10,8,2,3.8,9.42,2
125,0,29,10,8,3,4.3,11.42,3
125,0,29,10,8,4,6.2,13.42,4
133,1,28,8,9,1,1.8,6.75,1
133,1,28,8,9,2,2.6,8.75,2
133,1,28,8,9,3,4.1,10.75,3
133,1,28,8,9,4,4,12.75,4
163,1,28,10,10,1,3.5,7.17,1
163,1,28,10,10,2,4.8,9.17,2
163,1,28,10,10,3,5.8,11.17,3
163,1,28,10,10,4,7.5,13.17,4
190,0,28,9,8,1,2.9,6.67,1
190,0,28,9,8,2,6.1,8.67,2
227,0,29,12,10,1,1.8,6.25,1
227,0,29,12,10,2,3.8,8.25,2
227,0,29,12,10,3,4,10.25,3
248,0,28,9,9,1,3.5,7.5,1
248,0,28,9,9,2,5.7,9.5,2
248,0,28,9,9,3,7,11.5,3
248,0,28,9,9,4,6.9,13.5,4
251,1,29,6,9,1,2.6,7.42,1
251,1,29,6,9,2,3.8,9.42,2
251,1,29,6,9,3,6.3,11.42,3
251,1,29,6,9,4,6.1,13.42,4
300,1,28,7,11,1,1.8,6.08,1
300,1,28,7,11,2,3.7,8.08,2
300,1,28,7,11,3,4.4,10.08,3
300,1,28,7,11,4,4.2,12.08,4
326,1,29,13,10,1,1.8,6.08,1
326,1,29,13,10,2,3.2,8.08,2
326,1,29,13,10,3,5.4,12.08,3
348,1,27,10,11,1,2.2,7,1
348,1,27,10,11,2,4,9,2
348,1,27,10,11,3,5.1,11,3
348,1,27,10,11,4,6.3,13,4
382,0,27,7,4,1,2.5,7.17,1
382,0,27,7,4,2,3.7,9.17,2
382,0,27,7,4,3,4.1,11.17,3
382,0,27,7,4,4,7.2,13.17,4
400,1,27,8,8,1,2.4,6,1
400,1,27,8,8,2,5,8,2
400,1,27,8,8,3,5.1,10,3
400,1,27,8,8,4,5.8,12,4
405,1,27,14,11,1,3.1,6.25,1
405,1,27,14,11,2,4.1,8.25,2
405,1,27,14,11,3,5.5,12.25,3
427,1,28,9,3,1,2.8,7.5,1
427,1,28,9,3,2,5.7,9.5,2
427,1,28,9,3,3,5.3,11.5,3
427,1,28,9,3,4,5.8,13.5,4
431,0,27,10,9,1,1.4,6.42,1
431,0,27,10,9,2,2.2,8.42,2
431,0,27,10,9,3,2.3,10.42,3
480,0,27,10,11,1,3.5,7.67,1
480,0,27,10,11,2,4.3,9.67,2
480,0,27,10,11,3,4.8,11.67,3
480,0,27,10,11,4,5.9,13.67,4
484,0,28,13,11,1,6.7,8,1
484,0,28,13,11,2,8.2,10,2
484,0,28,13,11,3,6.9,12,3
486,1,27,7,7,1,3.1,6.67,1
486,1,27,7,7,2,4.7,8.67,2
486,1,27,7,7,3,5.6,10.67,3
486,1,27,7,7,4,6.4,12.67,4
494,1,27,10,9,1,2.3,7.42,1
494,1,27,10,9,2,4.1,9.42,2
494,1,27,10,9,3,5.8,11.42,3
494,1,27,10,9,4,6.9,13.42,4
509,1,27,11,10,1,2.1,6.33,1
509,1,27,11,10,2,3.9,8.33,2
509,1,27,11,10,3,5,10.33,3
509,1,27,11,10,4,5.3,12.33,4
522,0,27,9,9,1,3,7.17,1
522,0,27,9,9,2,4.2,9.17,2
522,0,27,9,9,3,5.6,11.17,3
522,0,27,9,9,4,6.2,13.17,4
533,0,28,11,8,1,1.8,6.42,1
533,0,28,11,8,2,2.7,8.42,2
533,0,28,11,8,3,4,10.42,3
533,0,28,11,8,4,4.5,12.42,4
555,0,28,9,5,1,3.8,7.75,1
555,0,28,9,5,2,5.7,9.75,2
555,0,28,9,5,3,6.2,11.75,3
555,0,28,9,5,4,6.8,13.75,4
568,0,27,8,8,1,1.8,6,1
568,0,27,8,8,2,4.2,8,2
568,0,27,8,8,3,5.1,10,3
568,0,27,8,8,4,7.2,12,4
637,1,27,4,6,1,2.6,6.17,1
637,1,27,4,6,2,2.5,8.17,2
637,1,27,4,6,3,3.3,10.17,3
637,1,27,4,6,4,4.4,12.17,4
648,0,27,7,7,1,3.6,8,1
648,0,27,7,7,2,5.2,10,2
648,0,27,7,7,3,6,12,3
648,0,27,7,7,4,7.5,14,4
689,0,26,12,13,1,1.8,6,1
689,0,26,12,13,2,2.4,8,2
689,0,26,12,13,3,3.7,10,3
689,0,26,12,13,4,5.4,12,4
747,1,26,6,9,1,3,6.67,1
747,1,26,6,9,2,4.7,8.67,2
747,1,26,6,9,3,6.5,10.67,3
747,1,26,6,9,4,6.1,12.67,4
756,0,26,9,7,1,2.3,6.5,1
756,0,26,9,7,2,4.2,8.5,2
756,0,26,9,7,3,6.7,12.5,3
761,1,26,9,11,1,2.1,7.83,1
761,1,26,9,11,2,2.5,9.83,2
761,1,26,9,11,3,4,11.83,3
761,1,26,9,11,4,3.3,13.83,4
768,0,27,12,11,1,2.8,6.92,1
768,0,27,12,11,2,5,8.92,2
768,0,27,12,11,3,6,10.92,3
768,0,27,12,11,4,6.1,12.92,4
780,1,26,9,11,1,1.8,6.08,1
780,1,26,9,11,2,2.9,8.08,2
780,1,26,9,11,3,6,10.08,3
798,0,27,10,12,1,1.8,6,1
798,0,27,10,12,2,2.4,8,2
798,0,27,10,12,3,3.5,10,3
798,0,27,10,12,4,4.4,12,4
813,1,26,3,7,1,2.8,7,1
813,1,26,3,7,2,3.8,9,2
813,1,26,3,7,3,3.9,11,3
813,1,26,3,7,4,5,13,4
828,0,26,9,7,1,1.7,6.42,1
828,0,26,9,7,2,2.8,8.42,2
828,0,26,9,7,3,3.9,10.42,3
828,0,26,9,7,4,4.8,12.42,4
851,0,26,9,8,1,3.1,6.5,1
851,0,26,9,8,2,5.2,8.5,2
851,0,26,9,8,3,6.2,10.5,3
851,0,26,9,8,4,6.8,12.5,4
858,1,26,13,10,1,1.3,6.25,1
858,1,26,13,10,2,2.3,8.25,2
858,1,26,13,10,3,2.5,10.25,3
858,1,26,13,10,4,3.4,12.25,4
865,0,26,7,7,1,2.3,7.5,1
865,0,26,7,7,2,4.1,9.5,2
865,0,26,7,7,3,5.4,13.5,3
894,1,27,12,9,1,1.8,6.17,1
894,1,27,12,9,2,3.5,8.17,2
894,1,27,12,9,3,3.7,10.17,3
894,1,27,12,9,4,5.6,12.17,4
906,1,26,10,12,1,1.7,6.5,1
906,1,26,10,12,2,2.1,8.5,2
906,1,26,10,12,4,2.5,12.5,4
