id,r_1_1,r_1_2,r_1_3,r_1_4,r_1_5,r_1_6,r_1_7,r_1_8,r_1_9,r_1_10,r_2_1,r_2_2,r_2_3,r_2_4,r_2_5,r_2_6,r_2_7,r_2_8,r_2_9,r_2_10
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,4,4,3,2,3
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,3,4,4,2,3,2
103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
227,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,4
424,4,4,4,3,4,3,3,1,2,3,4,4,4,3,4,3,3,3,4,4
439,3,3,4,3,3,3,3,2,2,2,4,4,4,4,4,4,4,3,3,4
510,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,2,2
526,4,4,3,3,2,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4
704,3,3,3,3,2,3,3,2,2,3,4,4,4,3,4,3,3,NA,4,4
706,3,4,4,3,3,3,3,3,3,4,4,4,4,3,4,3,3,4,2,3
805,4,4,4,3,4,2,3,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
836,4,4,3,3,4,4,4,2,3,3,4,4,4,3,4,4,4,2,4,4
917,3,3,4,3,4,3,3,2,3,2,4,4,4,3,4,4,3,2,4,4
929,4,4,4,3,4,3,3,4,2,2,4,4,4,4,4,3,3,4,2,2
1013,3,4,4,3,4,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,4,4,3,2,4,3,2,4,3,2,4,4,4,3,4,3,4,4,3,2
1060,4,4,4,4,1,4,4,1,3,2,4,4,3,3,3,3,3,1,2,2
1073,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,4,4
