Interpersonal_Distance_A,Interpersonal_Distance_B,Liking_A,Liking_B,Eye_Contact_A,Eye_Contact_B,Group,ID
106,63,6,6,58,75,1,1
82,113,6,6,54,86,1,2
103,172,5,3,55,72,1,3
55,90,5,4,51,82,1,4
25,67,7,7,69,99,1,5
154,200,5,4,47,65,1,6
138,200,4,3,49,73,1,7
200,200,6,3,64,85,1,8
200,200,4,4,30,48,1,9
200,155,6,5,41,68,1,10
200,166,6,4,54,78,1,11
200,200,5,4,57,71,1,12
200,145,4,4,27,70,1,13
200,25,5,4,60,96,1,14
46,200,6,4,49,67,1,15
157,200,6,2,35,52,1,16
74,161,6,5,53,70,1,17
200,156,4,6,43,87,1,18
132,110,5,3,59,69,1,19
86,86,6,6,57,79,1,20
78,174,7,5,43,57,1,21
98,132,7,4,60,74,1,22
200,200,4,4,46,39,1,23
126,70,6,6,64,98,1,24
159,200,6,3,66,62,1,25
200,200,6,2,34,34,1,26
79,200,7,3,59,52,1,27
150,143,2,1,33,69,1,28
200,200,5,3,12,52,1,29
200,200,3,1,52,49,1,30
25,25,7,6,77,95,1,31
25,170,6,6,53,73,1,32
171,123,4,5,31,46,1,33
88,195,6,4,59,74,1,34
30,39,5,3,67,76,1,35
160,102,7,6,46,63,1,36
200,200,1,1,51,65,1,37
200,65,7,6,78,49,2,38
200,191,7,4,88,41,2,39
124,187,7,5,85,76,2,40
159,200,7,4,62,39,2,41
133,61,5,5,87,78,2,42
187,161,4,4,56,50,2,43
200,200,6,5,60,50,2,44
200,200,7,5,68,42,2,45
200,200,7,4,57,56,2,46
200,200,4,2,42,3,2,47
198,200,7,4,74,48,2,48
200,200,6,4,73,40,2,49
200,200,5,3,63,45,2,50
200,200,5,3,73,56,2,51
152,116,6,4,74,55,2,52
130,196,6,4,72,60,2,53
200,200,3,1,16,0,2,54
171,114,7,5,65,76,2,55
72,200,6,4,90,62,2,56
200,147,5,3,61,50,2,57
161,41,7,7,77,68,2,58
80,159,7,6,94,47,2,59
96,25,7,4,89,56,2,60
198,166,4,2,67,47,2,61
200,200,6,3,62,36,2,62
200,170,6,6,74,66,2,63
200,157,7,7,64,37,2,64
200,145,7,4,60,57,2,65
132,200,4,3,79,44,2,66
39,25,6,5,69,61,2,67
200,185,7,6,58,57,2,68
200,200,6,4,55,25,2,69
84,72,7,5,80,57,2,70
200,200,5,3,72,46,2,71
200,200,3,2,55,28,2,72
168,200,4,4,60,47,2,73
25,90,6,4,76,40,2,74
59,111,7,6,81,70,2,75
