id,rosen_se,panas_n,panas_p,neo_n,neo_e,neo_o,neo_a,neo_c
1,2.6,1.642857143,4.625,2.916667,4.5,4.166667,3.583333,4
2,3.4,1.333333333,2.066666667,3.833333,3.5,3.166667,2.833333,3.833333
3,2.9,1.416666667,1.933333333,3.416667,4.083333,3.666667,4.166667,3.833333
4,2.9,1.964285714,4.25,2.75,3.166667,3.833333,2.727273,3
5,3,2.535714286,2,3.833333,3.916667,2.916667,3.916667,2.75
6,3.1,2.607142857,1.4375,2.916667,3.333333,4.416667,4.166667,4.666667
7,1.8,2.214285714,3.75,4.333333,2.333333,3.833333,2.833333,3.916667
8,3.2,1.035714286,1.5,3.166667,3.75,3.166667,3.666667,2.583333
9,1.9,2.785714286,1.625,4.833333,2,3.333333,3.666667,2.583333
10,3.1,1.678571429,2.0625,3.416667,3.5,3.75,4.333333,2.416667
11,3.1,1.428571429,1.875,4.083333,4.166667,3.75,4.25,3.583333
12,3.5,3.071428571,2.5,3,3.583333,2.5,2.666667,3
13,2.9,2.642857143,2.375,3.333333,3.583333,3.916667,3.833333,3.416667
14,3.4,2.892857143,2.0625,3.083333,3.75,3.416667,3.25,3.75
15,3.1,1.392857143,1.333333333,2.75,3.666667,3.25,3.5,2.833333
16,3.6,1.107142857,2.4375,2,3.833333,3.416667,3.75,3.666667
17,2.7,2.285714286,1.875,3.583333,2.666667,4.25,3.333333,2.75
18,1.7,4.25,1.6875,4.583333,1.916667,4,3.916667,1.5
19,3.6,1.964285714,4.5625,3.166667,3.5,3.416667,4.416667,3.666667
20,3,1.25,3.75,2.25,4.666667,4.25,4.083333,3.083333
21,2.6,2.142857143,1.875,4.583333,3,3.833333,2.75,3.5
22,3,1.035714286,2.25,3.083333,3.75,4,3.833333,2.5
23,3.8,2.62962963,3.3125,2.666667,3.916667,3.416667,3.75,3.25
24,3.5,1.107142857,3.6875,1.666667,3,3.166667,3.916667,4.166667
25,3.1,1.428571429,2.125,3.166667,3.333333,3.583333,4,3.416667
26,3.3,2.785714286,1.75,3,3.916667,3,3.25,3.583333
27,2.7,2.259259259,2.375,3.75,3.818182,3.083333,4.166667,4.5
28,3.2,1.857142857,2.5625,2.583333,4,3.916667,3,2.5
29,2.4,2.071428571,2.8125,4.416667,2.916667,4.166667,3.333333,2.833333
30,2.9,1.428571429,1.4375,3.166667,2.916667,3.083333,4,3.833333
31,3.4,1.571428571,2.625,2.416667,3.833333,3.583333,4.166667,3.833333
32,3.8,1.571428571,2.3125,2.666667,3.833333,2.666667,3.916667,3.333333
33,3.1,1.821428571,2.875,2.416667,3.75,3.25,3.5,3.583333
34,2.6,1.821428571,1.4375,4,3.25,3.166667,3.583333,4.083333
36,2.2,3.222222222,2.5625,3.666667,2.333333,3.833333,2.583333,1.916667
37,3.1,1.571428571,2.4375,3.583333,2.833333,3.583333,3.166667,3.25
38,3.6,1.964285714,1.8125,3,4.833333,3.5,3.5,3.416667
39,3.8,1.642857143,2.8125,1.916667,4,3.416667,3.75,3.75
40,3,2.714285714,3.5625,3.333333,3.833333,3.916667,3.916667,3.5
41,1.5,3.035714286,3.2,4,2.416667,3.416667,2.833333,2.416667
42,4,1.714285714,4.75,2,4.333333,4.083333,3.5,4.166667
43,3.7,1.321428571,3.25,2.416667,2.916667,3.25,3.333333,4.25
44,2.5,1.074074074,1.066666667,3.583333,3.25,4.333333,4.333333,3.75
45,3.9,1.142857143,1.9375,2.166667,3.25,2.333333,3.75,3.75
46,3.1,3.037037037,2.333333333,3,3.166667,3.25,2.916667,3.5
47,2.9,2.392857143,3.25,3.583333,3.083333,4.333333,3.5,3.083333
48,2.9,2.071428571,1.375,4.25,2.75,3.25,3.5,3.083333
49,3.9,1.142857143,2.4375,1.666667,4.5,3.666667,3.166667,3.166667
50,3,2.481481481,2.933333333,2.416667,3.416667,3.333333,3.916667,3.166667
