ID,sex,gre,pubs,years,interview
122,1,1036,0,5,1
1,1,1311,0,6,0
191,0,1196,0,6,0
194,0,1154,0,6,0
4,1,1259,0,7,0
6,1,1308,0,7,0
7,1,1380,0,7,0
9,1,1328,0,7,0
10,1,1327,0,7,0
11,1,1274,0,7,0
199,0,1259,0,7,0
200,0,1322,0,7,0
201,0,1483,0,7,0
202,0,1135,0,7,0
207,0,1195,0,7,0
209,0,1102,0,7,0
210,0,1309,0,7,0
211,0,1419,0,7,0
14,1,1359,0,8,0
15,1,1209,0,8,0
18,1,1335,0,8,0
214,0,1159,0,8,0
215,0,1099,0,8,0
221,0,1175,0,8,0
225,0,1134,0,8,0
235,0,1146,0,9,0
237,0,1091,0,9,0
240,0,1213,0,9,0
28,1,1195,0,10,0
242,0,1110,0,10,0
248,0,1230,0,10,0
264,0,1090,0,10,0
100,1,1092,1,4,1
113,1,1168,1,4,1
357,0,1280,1,4,1
364,0,1145,1,4,1
375,0,1133,1,4,1
400,0,1113,1,4,1
125,1,1113,1,5,1
189,0,1437,1,6,0
192,0,1292,1,6,0
193,0,1250,1,6,0
196,0,1232,1,6,0
3,1,1196,1,7,0
8,1,1269,1,7,0
197,0,1425,1,7,0
203,0,1110,1,7,0
204,0,1483,1,7,0
13,1,1283,1,8,0
16,1,1531,1,8,0
21,1,1321,1,8,0
216,0,1171,1,8,0
223,0,1336,1,8,0
26,1,1216,1,9,0
230,0,1388,1,9,0
232,0,1138,1,9,0
238,0,1209,1,9,0
30,1,1187,1,10,0
243,0,1257,1,10,0
247,0,1350,1,10,0
249,0,1321,1,10,0
250,0,1245,1,10,0
256,0,1499,1,10,0
257,0,1280,1,10,0
258,0,1118,1,10,0
99,1,1340,2,4,1
119,1,1207,2,4,1
120,1,1310,2,4,1
351,0,1365,2,4,1
361,0,1465,2,4,1
373,0,1221,2,4,1
378,0,1159,2,4,1
383,0,1244,2,4,1
399,0,1092,2,4,1
130,1,1091,2,5,1
131,1,1199,2,5,1
137,1,1114,2,5,1
142,1,1315,2,5,1
146,1,1258,2,5,1
409,0,1150,2,5,1
419,0,1216,2,5,1
424,0,1227,2,5,1
435,0,1200,2,5,1
165,1,1189,2,6,1
190,0,1296,2,6,0
440,0,1209,2,6,1
464,0,1232,2,6,1
5,1,1317,2,7,0
172,1,1071,2,7,0
206,0,1241,2,7,0
208,0,1254,2,7,0
17,1,1320,2,8,0
20,1,1437,2,8,0
213,0,1517,2,8,0
224,0,1245,2,8,0
228,0,1302,2,9,0
231,0,1105,2,9,0
233,0,1302,2,9,0
234,0,1467,2,9,0
236,0,1333,2,9,0
29,1,1319,2,10,0
245,0,1305,2,10,0
251,0,1161,2,10,0
253,0,1218,2,10,0
254,0,1236,2,10,0
255,0,1268,2,10,0
260,0,1315,2,10,0
261,0,1316,2,10,0
263,0,1219,2,10,0
31,1,1260,2,11,0
33,1,1273,2,11,0
267,0,1337,2,11,0
269,0,1065,2,11,0
270,0,1317,2,12,0
39,1,1200,3,4,1
101,1,1347,3,4,1
102,1,1265,3,4,1
103,1,1341,3,4,1
105,1,1246,3,4,1
110,1,1145,3,4,1
116,1,1306,3,4,1
352,0,1340,3,4,1
356,0,1332,3,4,1
359,0,1253,3,4,1
362,0,1347,3,4,1
363,0,1282,3,4,1
370,0,1281,3,4,1
380,0,1249,3,4,1
381,0,1185,3,4,1
388,0,1227,3,4,1
389,0,1246,3,4,1
391,0,1257,3,4,1
392,0,1237,3,4,1
