ID,Institution,sex,years,pubs,outcome
122,3,1,5,0,2
1,3,1,6,0,1
191,3,2,6,0,1
194,2,2,6,0,1
4,3,1,7,0,1
6,2,1,7,0,1
7,3,1,7,0,1
9,2,1,7,0,1
10,2,1,7,0,1
11,2,1,7,0,1
199,3,2,7,0,1
200,3,2,7,0,1
201,3,2,7,0,1
202,3,2,7,0,1
207,3,2,7,0,1
209,3,2,7,0,1
210,3,2,7,0,1
211,2,2,7,0,1
14,2,1,8,0,1
15,2,1,8,0,1
18,1,1,8,0,1
214,1,2,8,0,1
215,2,2,8,0,1
221,2,2,8,0,1
225,2,2,8,0,1
235,3,2,9,0,1
237,3,2,9,0,1
240,3,2,9,0,1
28,3,1,10,0,1
242,3,2,10,0,1
248,3,2,10,0,1
264,2,2,10,0,1
100,2,1,4,1,2
113,2,1,4,1,2
357,3,2,4,1,2
364,3,2,4,1,2
375,3,2,4,1,2
400,3,2,4,1,2
125,2,1,5,1,2
189,2,2,6,1,1
192,3,2,6,1,1
193,3,2,6,1,1
196,3,2,6,1,1
3,3,1,7,1,1
8,3,1,7,1,1
197,2,2,7,1,1
203,2,2,7,1,1
204,2,2,7,1,1
13,3,1,8,1,1
16,2,1,8,1,1
21,3,1,8,1,1
216,2,2,8,1,1
223,3,2,8,1,1
26,2,1,9,1,1
230,3,2,9,1,1
232,2,2,9,1,1
238,3,2,9,1,1
30,2,1,10,1,1
243,1,2,10,1,1
247,2,2,10,1,1
249,3,2,10,1,1
250,3,2,10,1,1
256,2,2,10,1,1
257,3,2,10,1,1
258,2,2,10,1,1
99,1,1,4,2,2
119,2,1,4,2,2
120,1,1,4,2,2
351,2,2,4,2,2
361,3,2,4,2,2
373,3,2,4,2,2
378,3,2,4,2,2
383,3,2,4,2,2
399,2,2,4,2,2
130,3,1,5,2,2
131,2,1,5,2,2
137,1,1,5,2,2
142,1,1,5,2,2
146,1,1,5,2,2
409,2,2,5,2,2
419,2,2,5,2,2
424,3,2,5,2,2
435,2,2,5,2,2
165,3,1,6,2,2
190,2,2,6,2,1
440,1,2,6,2,2
464,2,2,6,2,2
5,3,1,7,2,1
172,1,1,7,2,2
206,2,2,7,2,1
208,3,2,7,2,1
17,2,1,8,2,1
20,1,1,8,2,1
213,2,2,8,2,1
224,3,2,8,2,1
228,3,2,9,2,1
231,3,2,9,2,1
233,2,2,9,2,1
234,3,2,9,2,1
236,2,2,9,2,1
29,3,1,10,2,1
245,2,2,10,2,1
251,3,2,10,2,1
253,2,2,10,2,1
254,3,2,10,2,1
255,3,2,10,2,1
260,2,2,10,2,1
261,3,2,10,2,1
263,2,2,10,2,1
31,2,1,11,2,1
33,2,1,11,2,1
267,3,2,11,2,1
269,2,2,11,2,1
270,2,2,12,2,1
39,1,1,4,3,3
101,1,1,4,3,2
102,1,1,4,3,2
103,2,1,4,3,2
105,3,1,4,3,2
110,3,1,4,3,2
116,3,1,4,3,2
352,3,2,4,3,2
356,2,2,4,3,2
359,2,2,4,3,2
362,2,2,4,3,2
363,1,2,4,3,2
370,2,2,4,3,2
380,2,2,4,3,2
381,3,2,4,3,2
388,2,2,4,3,2
389,3,2,4,3,2
391,2,2,4,3,2
392,3,2,4,3,2
393,3,2,4,3,2
401,3,2,4,3,2
128,2,1,5,3,2
138,2,1,5,3,2
144,2,1,5,3,2
402,2,2,5,3,2
403,2,2,5,3,2
411,3,2,5,3,2
412,2,2,5,3,2
414,3,2,5,3,2
425,2,2,5,3,2
427,3,2,5,3,2
434,2,2,5,3,2
436,1,2,5,3,2
439,2,2,5,3,2
2,1,1,6,3,1
151,2,1,6,3,2
156,3,1,6,3,2
160,3,1,6,3,2
168,3,1,6,3,2
195,2,2,6,3,1
443,1,2,6,3,2
449,1,2,6,3,2
465,1,2,6,3,2
12,2,1,7,3,1
170,2,1,7,3,2
198,3,2,7,3,1
212,3,2,7,3,1
469,3,2,7,3,2
474,3,2,7,3,2
475,2,2,7,3,2
476,2,2,7,3,2
481,2,2,7,3,2
19,2,1,8,3,1
217,3,2,8,3,1
219,2,2,8,3,1
220,1,2,8,3,1
226,2,2,8,3,1
489,1,2,8,3,2
23,2,1,9,3,1
25,3,1,9,3,1
227,3,2,9,3,1
239,2,2,9,3,1
27,2,1,10,3,1
244,2,2,10,3,1
252,2,2,10,3,1
259,2,2,10,3,1
262,1,2,10,3,1
32,1,1,11,3,1
265,1,2,11,3,1
272,2,2,12,3,1
273,2,2,13,3,1
62,3,1,4,4,3
67,3,1,4,4,3
97,3,1,4,4,2
98,3,1,4,4,2
106,2,1,4,4,2
107,2,1,4,4,2
109,3,1,4,4,2
114,2,1,4,4,2
117,3,1,4,4,2
287,2,2,4,4,3
291,3,2,4,4,3
298,3,2,4,4,3
303,3,2,4,4,3
349,3,2,4,4,2
350,3,2,4,4,2
360,2,2,4,4,2
365,2,2,4,4,2
366,2,2,4,4,2
367,2,2,4,4,2
371,2,2,4,4,2
374,1,2,4,4,2
376,1,2,4,4,2
377,1,2,4,4,2
382,2,2,4,4,2
385,2,2,4,4,2
386,2,2,4,4,2
390,2,2,4,4,2
394,3,2,4,4,2
396,3,2,4,4,2
397,3,2,4,4,2
398,3,2,4,4,2
83,3,1,5,4,3
126,2,1,5,4,2
129,2,1,5,4,2
132,2,1,5,4,2
133,2,1,5,4,2
134,2,1,5,4,2
136,1,1,5,4,2
139,2,1,5,4,2
143,1,1,5,4,2
145,2,1,5,4,2
314,1,2,5,4,3
407,2,2,5,4,2
413,2,2,5,4,2
415,2,2,5,4,2
417,3,2,5,4,2
420,3,2,5,4,2
421,3,2,5,4,2
428,2,2,5,4,2
429,3,2,5,4,2
437,2,2,5,4,2
91,1,1,6,4,3
150,2,1,6,4,2
154,3,1,6,4,2
157,3,1,6,4,2
158,2,1,6,4,2
161,1,1,6,4,2
163,2,1,6,4,2
