"Age","Area_F","Trust_F","Gun_Control_F","Sex_F","Education_F","Race_F","Income_F","Party_F","Ideology_F","ID"
59,"Rural","Never","Protect Right to Own Guns","Men","Completed High School","White","30K to 40K","Republican","Conservative",1
82,"Rural","Only Some of the Time","Protect Right to Own Guns","Women","Some College","White","50K to 75K","Republican","Conservative",2
40,"Suburban","Only Some of the Time","Protect Right to Own Guns","Men","Four-Year Degree","White","30K to 40K","Independent","Very Conservative",3
61,"Rural","Only Some of the Time","Protect Right to Own Guns","Women","Some College","White","100K to 150K","Republican","Moderate",4
70,"Rural","Only Some of the Time","Protect Right to Own Guns","Men","Post-Graduate","White","50K to 75K","Republican","Conservative",5
63,"Suburban","Only Some of the Time","Protect Right to Own Guns","Women","Four-Year Degree","White","100K to 150K","Republican","Moderate",6
67,"Urban","Just About All of the Time","Protect Right to Own Guns","Women","Post-Graduate","White","Less Than 10K","Republican","Moderate",7
59,"Rural","Most of the Time","Protect Right to Own Guns","Women","Some College","White","30K to 40K","Republican","Conservative",8
63,"Urban","Never","Protect Right to Own Guns","Men","Four-Year Degree","White","75K to 100K","Independent","Very Conservative",9
83,"Urban","Only Some of the Time","Protect Right to Own Guns","Men","Post-Graduate","White","100K to 150K","Republican","Very Conservative",10
52,"Urban","Never","Protect Right to Own Guns","Men","Some Post-Graduate","White","50K to 75K","Independent","Conservative",11
55,"Suburban","Only Some of the Time","Protect Right to Own Guns","Men","Four-Year Degree","White","More Than 150K","Republican","Very Conservative",12
55,"Rural","Only Some of the Time","Protect Right to Own Guns","Men","Completed High School","White","50K to 75K","Republican","Conservative",13
76,"Urban","Only Some of the Time","Protect Right to Own Guns","Men","Two-Year Degree","White","50K to 75K","Republican","Conservative",14
55,"Suburban","Most of the Time","Protect Right to Own Guns","Men","Completed High School","White","100K to 150K","Republican","Conservative",15
31,"Suburban","Never","Protect Right to Own Guns","Women","Post-Graduate","Other","40K to 50K","Republican","Very Conservative",16
50,"Suburban","Only Some of the Time","Protect Right to Own Guns","Men","Two-Year Degree","White","100K to 150K","Republican","Very Conservative",17
51,"Rural","Only Some of the Time","Protect Right to Own Guns","Women","Post-Graduate","White","100K to 150K","Republican","Very Conservative",18
